,Title,CourseType,Source,Link,Content
33,Oxford Artificial Intelligence Programme,Computer Course,"Saïd Business School, University of Oxford",https://www.onlinestudies.com/Oxford-Artificial-Intelligence-Programme/United-Kingdom/Saïd-Business-School-University-of-Oxford/,Collaborate with industry leaders and innovators to understand the implications of artificial intelligence (AI). The Oxford Artificial Intelligence Programme aims to supply yo                                            ...                                                    
34,Higher Professional Degree in Front-end Development,Computer Course,Noroff School of Technology and Digital Media,https://www.onlinestudies.com/Higher-Professional-Degree-in-Front-end-Development/Norway/Noroff-School-of-Technology-and-Digital-Media/,This two-year education program provides you with the skills for practical work within the main areas of developing interactive and dynamic products. The program covers both d                                            ...                                                    
35,Programming Course in Visual Basic for Finance Online,Computer Course,Instituto BME,https://www.onlinestudies.com/Programming-Course-in-Visual-Basic-for-Finance-Online/Spain/Instituto-BME/,"The course presented here aims, through an eminently practical methodology, to offer attendees the necessary tools to develop their own algorithms focused on the financial fie                                            ...                                                    "
36,Foundations of Data Science: Computational Thinking with Python,Computer Course,edX,https://www.onlinestudies.com/Foundations-of-Data-Science-Computational-Thinking-with-Python/USA/edX/,"Learn the basics of computational thinking, an essential skill in today’s data-driven world, using the popular programming language, Python."
37,"Digital Learning, Asia 2020 Autumn Workshop: AI in Everyday Life",Computer Course,Copenhagen Institute of Interaction Design,https://www.onlinestudies.com/Digital-Learning-Asia-2020-Autumn-Workshop-AI-in-Everyday-Life/Japan/Copenhagen-Institute-of-Interaction-Design/,"We often hear about the relevance and importance of AI in our lives, but often these discussions are centered either around the negative and dystopian topics of surveillance o                                            ...                                                    "
38,Course - Computer Security,Computer Course,Campus Universitario Europeo,https://www.onlinestudies.com/Course-Computer-Security/Spain/Campus-Universitario-Europeo/,"The increased use of computers and communication systems that store, process and share large amounts of information is being dramatically in"
39,Webmaster - HTML & CSS Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/Webmaster-HTML-and-CSS-Course/United-Kingdom/Distance-Learning-Centre/,"If you are interested in becoming a Web Designer or simply want to build your own website, or perhaps a website for your company or organisation, then the Webmaster HTML and C                                            ...                                                    "
40,Webmaster - Responsive Web Design Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/Webmaster-Responsive-Web-Design-Course/United-Kingdom/Distance-Learning-Centre/,"The Webmaster - Responsive Web Design Course is for students with a pre-existing knowledge of HTML and CSS, and is an ideal follow-on programme for those completing the Webmas                                            ...                                                    "
41,Webmaster - JavaScript Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/Webmaster-JavaScript-Course/United-Kingdom/Distance-Learning-Centre/,"The Webmaster - JavaScript Web Design Course has been designed to introduce students to the JavaScript Programming Language (Inc. jQuery and AJAX), which tightly integrat                                            ...                                                    "
42,Course: Web Design Professional Bundle,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/Course-Web-Design-Professional-Bundle/United-Kingdom/Distance-Learning-Centre/,The Web Design Professional Bundle consists of the following: WEBMASTER - HTML & CSS COURSE Distance Learning Centre'sWebmaster - HTML & CSS Course takesyou step-by-st                                            ...                                                    
43,CIW Web Foundations Associate Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/CIW-Web-Foundations-Associate-Course/United-Kingdom/Distance-Learning-Centre/,Distance Learning Centre's CIW Web Foundations Associate Course is one of the most popular vendor-neutral Web education program available. Certified CIW Web Foundations Associ                                            ...                                                    
44,CIW Web Design Specialist Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/CIW-Web-Design-Specialist-Course/United-Kingdom/Distance-Learning-Centre/,The CIW Web Design Specialist Course (formerly titled Design Methodology and Technology) teaches you how to design and publish Web sites.
45,CIW Advanced HTML5 and CSS3 Specialist Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/CIW-Advanced-HTML5-and-CSS3-Specialist-Course/United-Kingdom/Distance-Learning-Centre/,"The CIW Advanced HTML5 & CSS3 Specialist Course covers the new CIW ID0-620 exam and is designed to give students an essential knowledge of HTML5, Cascading Style Sheets (C                                            ...                                                    "
46,PC Technology - Level 3 Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/PC-Technology-Level-3-Course/United-Kingdom/Distance-Learning-Centre/,The PC Technology - Level 3 Online course is ideal for students who know how to use computers but want to take that next step and learn more about the different components tha                                            ...                                                    
47,ECDL Online Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/ECDL-Online-Course/United-Kingdom/Distance-Learning-Centre/,The European Computer Driving Licence (ECDL) is a relevant and internationally recognised qualification for computer users. ECDL improves your understanding and efficient use                                             ...                                                    
48,MOS Excel 2016 Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/MOS-Excel-2016-Course/United-Kingdom/Distance-Learning-Centre/,"The MOS Excel 2016 Course (Desktop / Office 365) covers Microsoft Office Specialist exam objectives to help students prepare for the Excel 2016 77-727 Core Data Analysis, Mani                                            ...                                                    "
49,MOS Word 2016 Course,Computer Course,Distance Learning Centre,https://www.onlinestudies.com/MOS-Word-2016-Course/United-Kingdom/Distance-Learning-Centre/,"The MOS Word 2016 Course (Desktop / Office 365)covers Microsoft Office Specialist exam objectives to help students prepare for the Word 2016 77-725 Core Document Creation, Col                                            ...                                                    "
50,Course CIW Web Foundations Associate (QCF),Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Web-Foundations-Associate-(QCF)/United-Kingdom/UK-Open-College/,CIW is the most popular educational programme in the world for those serious about web design & development. The series of CIW certified courses are written by professiona                                            ...                                                    
51,Course CIW Web Design Specialist (QCF),Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Web-Design-Specialist-(QCF)/United-Kingdom/UK-Open-College/,"The CIW Web Design Specialist course is for the individual who wants to develop the skills necessary to specialise in Web site design. In this course, you will build upon your                                            ...                                                    "
52,Course CIW Web Design Professional (QCF),Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Web-Design-Professional-(QCF)/United-Kingdom/UK-Open-College/,The CIW Web Design Professional home study online course combines two separate qualifications at a reduced fee. This course contains the CIW E-commerce specialist course and t                                            ...                                                    
53,Course: CIW Javascript Specialist (QCF),Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Javascript-Specialist-(QCF)/United-Kingdom/UK-Open-College/,CIW is the most popular educational programme in the world for those serious about web design & development. This course is the CIW Javascript specialist. Students will ac                                            ...                                                    
54,Course: CIW Perl Specialist (QCF),Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Perl-Specialist-(QCF)/United-Kingdom/UK-Open-College/,Online CIW Self-study course. Students will acquire the skills to write Perl scripts. Add invaluable skills including Interaction with text files and access command line argum                                            ...                                                    
55,Course: CIW Database Design Specialist (QCF),Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Database-Design-Specialist-(QCF)/United-Kingdom/UK-Open-College/,"Online CIW Self-study course. Students will learn about the theory of relational databases, relational database nomenclature, and relational algebra. The course includes secti                                            ...                                                    "
56,Course: CIW Web Development Professional (QCF) Level 3,Computer Course,UK Open College,https://www.onlinestudies.com/Course-CIW-Web-Development-Professional-(QCF)-Level-3/United-Kingdom/UK-Open-College/,The CIW Web Development Professional home study online course combines three individual qualifications at a reduced fee. This course contains the CIW Javascript Specialist cou                                            ...                                                    
57,Course: Mastering Mathematical Finance Online Courses - Numerical Methods in Finance with C++,Computer Course,Department of Mathematics University of York - Online Programs,https://www.onlinestudies.com/Course-Mastering-Mathematical-Finance-Online-Courses-Numerical-Methods-in-Finance-with-C/United-Kingdom/Department-of-Mathematics-University-of-York-Online-Programs/,"Driven by concrete computational problems in quantitative finance, this book provides aspiring quant developers with the numerical techniques and programming skills they need.                                            ...                                                    "
58,Blockchain 101 Course,Computer Course,FinTech School,https://www.onlinestudies.com/Blockchain-101-Course/USA/FinTech-School/,"The blockchain represents a way to transfer value, securely and with no central authority involved. It is arguably the most important technological innovation of the past two                                             ...                                                    "
59,Learn Java - Online Program,Computer Course,Preply,https://www.onlinestudies.com/Learn-Java-Online-Program/USA/Preply/,"Use the search filters to find private Java tutors, according to your budget and needs. Grow faster with PREPLY tutors, follow your individual path."
60,Learn Python - Online Program,Computer Course,Preply,https://www.onlinestudies.com/Learn-Python-Online-Program/USA/Preply/,"Use the search filters to find private Python tutors, according to your budget and needs. Grow faster with PREPLY tutors, follow your individual path."
61,Associate of Science in Business Administration,Business Course,Medaille College,https://www.academiccourses.com/Associate-of-Science-in-Business-Administration/USA/Medaille-College/,"The A.S. in Business can be used to earn an associate degree or simply to accumulate sufficient credits to transfer into a baccalaureate-level program, depending on the studen                                            ...                                                    "
62,Business and Entrepreneurship Summer School Program at Yale or Cambridge,Business Course,ISSOS - International Summer Schools For 13-18 Year Olds‎,https://www.academiccourses.com/Business-and-Entrepreneurship-Summer-School-Program-at-Yale-or-Cambridge/United-Kingdom/ISSOS-International-Summer-Schools-For-13-18-Year-Olds‎/,Students will learn about what it takes to be an entrepreneur and the fundamentals of starting a business and marketing a product. In small groups students will generate ideas                                            ...                                                    
63,Enterprise Resource Planning Certificate,Business Course,The University of Scranton Online,https://www.onlinestudies.com/Enterprise-Resource-Planning-Certificate/USA/The-University-of-Scranton-Online/,"The University of Scranton offers an online, graduate-level Certificate in Enterprise Resource Planning, helping to secure your position—and possibly increase your pay—in the                                             ...                                                    "
64,Post-Bachelor's Certificate in Biotechnology Enterprise,Business Course,"Johns Hopkins University, Advanced Academic Programs",https://www.onlinestudies.com/Post-Bachelors-Certificate-in-Biotechnology-Enterprise/USA/Johns-Hopkins-University-Advanced-Academic-Programs/,"This Johns Hopkins Certificate in Biotechnology Enterprise offers the opportunity to learn critical aspects of biotechnology product development, including how to create a new                                            ...                                                    "
65,International Business Summer Course,Business Course,Bar-Ilan University,https://www.academiccourses.com/International-Business-Summer-Course/Israel/Bar-Ilan-University/,Come join us for an intensive summer semester at Bar-Ilan University’s School of Business. Study business with students from all over the world and make lifetime connections.                                             ...                                                    
66,Business Summer School,Business Course,EU Business School,https://www.academiccourses.com/Business-Summer-School/Spain/Euruni/,The EU Business Summer School is specifically designed for current university students and recent university graduates of any academic backgrounds aged 18 who are interested                                             ...                                                    
67,Digital and Leadership Summer School in Barcelona,Business Course,GBSB Global Business School,https://www.academiccourses.com/Digital-and-Leadership-Summer-School-in-Barcelona/Spain/GBSB-Global/,Join us this summer in Barcelona! GBSB Global’s Summer School in Spain provides a great opportunity for students from all over the world to utilize their summer holidays to ge                                            ...                                                    
68,CertHE Business and Management,Business Course,University of Essex Online,https://www.onlinestudies.com/CertHE-Business-and-Management/United-Kingdom/University-of-Essex-Online/,"If you’re keen to try university study, our CertHE Business and Management course online can be achieved as a stand-alone qualification or used as a stepping stone towards a F                                            ...                                                    "
69,Online International Foundation Programme - Business,Business Course,The University of Law Business School Online,https://www.onlinestudies.com/Online-International-Foundation-Programme-Business/United-Kingdom/UniversityofLawBusinessSchoolOnline/,The Online International Foundation Programme for Business is a one year course providing a pathway to undergraduate studies in Business. Students will gain an active understa                                            ...                                                    
70,Postgraduate in Design for Innovation Strategy,Business Course,IED – Istituto Europeo di Design Barcelona,https://www.academiccourses.com/Postgraduate-in-Design-for-Innovation-Strategy/Spain/IED-Barcelona/,The Postgraduate in Design for Innovation Strategy equips students with design-specific methodologies and tools allowing them to identify new business opportunities and come u                                            ...                                                    
71,Certificate: Trends Forecasting & Analytics,Business Course,London School Of Design And Marketing,https://www.onlinestudies.com/Certificate-Trends-Forecasting-and-Analytics/United-Kingdom/London-School-Of-Design-And-Marketing/,Emerging ideas and future trends are beneficial to companies seeking direction and confirmation of their product development and marketing strategies. These trends cannot be v                                            ...                                                    
72,PgCert in Defence and Security Export,Business Course,Cranfield University,https://www.academiccourses.com/PgCert-in-Defence-and-Security-Export/United-Kingdom/Cranfield-Uni/,This course is aimed at those working within the defence and security sector who are looking to expand their knowledge in defence and security marketing. Graduates achieve a h                                            ...                                                    
73,Associate of Arts,Business Course,University Canada West (UCW),https://www.academiccourses.com/Associate-of-Arts/Canada/University-Canada-West-(UCW)/,The Associate of Arts (AA) degree provides you with a broad foundation of knowledge. This 60-credit (20 courses) program prepares you for additional post-secondary education o                                            ...                                                    
74,Customer Service Skills Certificate,Business Course,ShippingCollege,https://www.onlinestudies.com/Customer-Service-Skills-Certificate/United-Kingdom/ShippingCollege/,The Customer Service Skills course is a training course for customer support and services employees to help them develop an effective and efficient mechanism of solving custom                                            ...                                                    
75,IT and E-commerce University 1st and 2nd Year (Level 4 and 5),Business Course,Online Business School,https://www.onlinestudies.com/IT-and-E-commerce-University-1st-and-2nd-Year-(Level-4-and-5)/United-Kingdom/Online-Business-School/,"With the number of people shopping online on the rise and the number of online stores ever-increasing, it’s becoming more and more important for retailers and eCommerce stores                                            ...                                                    "
76,Associate of Science in Business Administration (Online),Business Course,Medaille College,https://www.onlinestudies.com//Associate-of-Science-in-Business-Administration-(Online)/USA/Medaille-College/,"Earn a two-year business degree that provides a strong background in business fundamentals, including accounting, negotiating, human resources and leadership. Offered online a                                            ...                                                    "
77,Winter Business School,Business Course,EU Business School,https://www.academiccourses.com//Winter-Business-School/Germany/Euruni/,The EU Business Winter School is designed for current university students and recent university graduates of any academic backgrounds aged 18 who are interested in business a                                            ...                                                    
78,PG Cert Business Management,Business Course,University of Essex Online,https://www.onlinestudies.com/PG-Cert-Business-Management/United-Kingdom/University-of-Essex-Online/,"Enrol on our online Postgraduate Certificate in Business Management to develop your understanding of management practice, increase your awareness of current frameworks, theori                                            ...                                                    "
79,PG Dip Business and Management (Business Analytics),Business Course,University of Essex Online,https://www.onlinestudies.com/PG-Dip-Business-and-Management-(Business-Analytics)/United-Kingdom/University-of-Essex-Online/,"In a business world increasingly defined and dependent on data, having a solid understanding of the challenges and opportunities within business analytics is a great way to se                                            ...                                                    "
80,PG Dip Business Management,Business Course,University of Essex Online,https://www.onlinestudies.com/PG-Dip-Business-Management/United-Kingdom/University-of-Essex-Online/,Our Postgraduate Diploma in Business Management offers an advanced qualification that is designed to equip graduates with a thorough understanding of modern management concept                                            ...                                                    
81,PG Dip Business with Finance,Business Course,University of Essex Online,https://www.onlinestudies.com/PG-Dip-Business-with-Finance/United-Kingdom/University-of-Essex-Online/,"Develop your personal, academic and professional development with our online Postgraduate Diploma in Business with Finance. This advanced programme introduces key business and                                            ...                                                    "
82,PG Cert Strategic Business Management Online,Business Course,The University of Law Business School Online,https://www.onlinestudies.com//PG-Cert-Strategic-Business-Management-Online/United-Kingdom/UniversityofLawBusinessSchoolOnline/,The PG Cert Strategic Business Management Online is aimed at graduates who have an interest in developing knowledge and a critical understanding of the key aspects of strategi                                            ...                                                    
83,PG Dip Strategic Business Management Online,Business Course,The University of Law Business School Online,https://www.onlinestudies.com//PG-Dip-Strategic-Business-Management-Online/United-Kingdom/UniversityofLawBusinessSchoolOnline/,The PG Dip Strategic Business Management Online is aimed at graduates who have an interest in developing knowledge and a critical understanding of the key aspects of strategic                                            ...                                                    
84,Summer Course in Design Thinking for Business Transformation,Business Course,IED – Istituto Europeo di Design Barcelona,https://www.academiccourses.com/Summer-Course-in-Design-Thinking-for-Business-Transformation/Spain/IED-Barcelona/,"The Summer Course in Design Thinking & Business Transformation is geared towards professionals who are interested in defining, shaping and implementing innovative strategi                                            ...                                                    "
85,Summer Course in Innovation and Future Thinking,Business Course,IED – Istituto Europeo di Design Barcelona,https://www.academiccourses.com/Summer-Course-in-Innovation-and-Future-Thinking/Spain/IED-Barcelona/,"The Summer Course in Innovation & Future Thinking capitalizes on the ability to detect signs of change, arrange ideas in comprehensible models, synthesize new forms of ass                                            ...                                                    "
86,Sales and Customer Relationship Management Certificate,Business Course,ShippingCollege,https://www.onlinestudies.com/Sales-and-Customer-Relationship-Management-Certificate/United-Kingdom/ShippingCollege/,"The Sales and Customer Relationship Management course is a training course for sales and servicing representatives to help them prepare their sales targets, understand custome                                            ...                                                    "
87,Business and Administrative Management Graduate Diploma ( Level 6 Postgraduate MBA entry),Business Course,Online Business School,https://www.onlinestudies.com/Business-and-Administrative-Management-Graduate-Diploma-(-Level-6-Postgraduate-MBA-entry)/United-Kingdom/Online-Business-School/,The graduate Level 6 120 credit Diploma in Business and Administrative Management is made up of 10 modules and 6 written assignments and each module consist of approximately 4                                            ...                                                    
88,Business Management University Foundation programme (Level 3 - 120 Credits),Business Course,Online Business School,https://www.onlinestudies.com/Business-Management-University-Foundation-programme-(Level-3-120-Credits)/United-Kingdom/Online-Business-School/,The Level 3 University Foundation Programme is a 120 credit ‘A-Level’ equivalent qualification which helps students learn key concepts and a range of management procedures req                                            ...                                                    
89,"Business Management, University Foundation programme (Level 3 - 60 credits)",Business Course,Online Business School,https://www.onlinestudies.com/Business-Management-University-Foundation-programme-(Level-3-60-credits)/United-Kingdom/Online-Business-School/,The Level 3 University Foundation Programme is a 60 credit qualification (equivalent to one A level) which helps students learn key concepts and a range of management procedur                                            ...                                                    
90,"Business Management, University 1st and 2nd Year (Level 4 and 5)",Business Course,Online Business School,https://www.onlinestudies.com/Business-Management-University-1st-and-2nd-Year-(Level-4-and-5)/United-Kingdom/Online-Business-School/,The Undergraduate Level 4/5 Extended Diploma in Management is a 240 credit course designed to fast-track students to the final year of an associated Undergraduate degree in Bu                                            ...                                                    
91,"Business Strategic Management, MBA Advance Entry (Level 7)",Business Course,Online Business School,https://www.onlinestudies.com/Business-Strategic-Management-MBA-Advance-Entry-(Level-7)/United-Kingdom/Online-Business-School/,"The Level 7 Extended Diploma in Strategic Management is an MBA advanced entry course, which provides learners with 120 credits of the 180 credits required to achieve a complet                                            ...                                                    "
92,"Sales and Marketing, University 1st and 2nd Year (Level 4 and 5)",Business Course,Online Business School,https://www.onlinestudies.com/Sales-and-Marketing-University-1st-and-2nd-Year-(Level-4-and-5)/United-Kingdom/Online-Business-School/,The undergraduate Level 4 (Sales and Marketing) and Level 5 (Extended Diploma in Management) are a 240 credit course designed to fast-track students to the final year of an as                                            ...                                                    
93,Executive Program in Business Analytics,Business Course,ICADE Business School,https://www.academiccourses.com/Executive-Program-in-Business-Analytics/Spain/ICADE-Business-School/,"The digital revolution allows making more accurate business decisions, using tools that draw conclusions from the vast amount of data available. This is what is called busines                                            ...                                                    "
