,JobTitle,Company,Location,Year,Month,Day,JobDescription,Salary,Link
10,.Net Application Developer - Multiple Positions,"TALENT INTERNATIONAL - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"C#, .Net & SQL Server Analysis / Design / Development - product development Centrally Located / Great working environment We currently have multiple .Net development roles on the go with few of our clients. All roles are Adelaide based and we are seeking ...",Not provided,https://www.adzuna.com.au/land/ad/1731920416?se=FnAJXCsQ6xGn_08q82QBrg&v=08ED5143664CDFA771551C8CC5AA1BE13DE52BBF
11,Machine Operator,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Machine Operator Job Title: Machine Operator Contract Type: Temporary Location: Regency Park, South Australia Industry: Manufacturing Reference: BBBH12576_1600737452 Contact Name: Kerri Franz Contact Email: kfranzfuserecruitment.com Job Description The client...",Not provided,https://www.adzuna.com.au/land/ad/1760767463?se=FnAJXCsQ6xGn_08q82QBrg&v=C62A9A34125014B08A91E362538B7C6FB42FF230
12,Fitter And Turner Electric Motors And Pumps Listing,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Fitter and Turner (Electric Motors and Pumps) Fitter and Turner (Electric Motors and Pumps) New listing Posted 1 day ago. 18 people have viewed this job. Location: GEPPS CROSS, SA External link. Opens in a new window Salary: $60,001 - $80,000 Work Type: Full ...",Not provided,https://www.adzuna.com.au/land/ad/1753037432?se=FnAJXCsQ6xGn_08q82QBrg&v=1383CB6AC66A47EFBFC634D26D2E60723CA2908F
13,Child Injury Prevention Project Officer,"KIDSAFE SA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Child Injury Prevention Project Officer Kidsafe SA - Adelaide SA Temporary, Contract About the role The Role: Part of one of Australias oldest and most reputable not-for-profit child safety organisations, we are looking for a dynamic and engaging Child Injury ...",Not provided,https://www.adzuna.com.au/land/ad/1716374852?se=FnAJXCsQ6xGn_08q82QBrg&v=00A7E675405AD42C0FD5F74F3302FC9BD886EBB8
14,Chief Executive Officer,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"CHIEF EXECUTIVE OFFICER Date listed: 25/9/2020 Adelaide Full Time CHIEF EXECUTIVE OFFICER Good Salary and Conditions, currently located in Nuriootpa Excellent Salary Sacrificing opportunities under PBI rules Fixed Term Contract 3 years ing to Board of ...",Not provided,https://www.adzuna.com.au/land/ad/1744711957?se=FnAJXCsQ6xGn_08q82QBrg&v=269F6C85E555166F106D167FB025A762C9EF47DC
15,ESL (English) Teachers & Tutors Wanted in Adelaide,SUPERPROF - ADELAIDE,ADELAIDE,2020,10,17,"Company Superprof is a platform which puts people who wish to learn, in touch with those who wish to teach. Our knowledge-sharing platform allows tutors and students to find each other easily and in total confidence. Founded in 2013, we connect motivated ...",Not provided,https://www.adzuna.com.au/land/ad/1632768197?se=FnAJXCsQ6xGn_08q82QBrg&v=C752F43058D87EA2C51FC66374E410EE9D00606B
16,Beef,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,HARVEY BEEF - POSITIONS AVAILABLE Date listed: 19/9/2020 Adelaide Full Time Harvey Beef is now currently recruiting for the below positions:  Slaughter Persons  Knife Hands  Boners  Slicers  Butchers  Packers (Experience not required)  General Labourers (...,Not provided,https://www.adzuna.com.au/land/ad/1725794251?se=FnAJXCsQ6xGn_08q82QBrg&v=145522D393D1E2F5C4F7AF58A72CF730ACDAA2F8
17,Pastry Chef,"JOLLEYS BOATHOUSE - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"160989 Posted 24 September, 2020 Pastry Chef Jolleys Boathouse Adelaide, South Australia, AU Full Time  Jolleys boathouse has an exciting opportunity for an experienced Pastry Chef De Partie to join the kitchen team We are seeking enthusiastic, confident and ...",Not provided,https://www.adzuna.com.au/land/ad/1744711634?se=FnAJXCsQ6xGn_08q82QBrg&v=66694B4DE8F8E36F19F3F732EFC54104B921AE6F
18,Fishing Crew - Ships Master,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Fishing Crew - Ships Master Fishing Crew - Ships Master Posted 15 days ago. 47 people have viewed this job. Location: BIRKENHEAD, SA External link. Opens in a new window Salary: Not Specified Work Type: Full time position Tenancy: Permanent position Positions...",Not provided,https://www.adzuna.com.au/land/ad/1756336400?se=FnAJXCsQ6xGn_08q82QBrg&v=4BC737714F42378978F46B046E6ACE66DCA4F272
19,Oshc Casual Relief Staff,"SUNRISE CHRISTIAN SCHOOL - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"OSHC Casual Relief Staff - Morphett Vale SA Casual Sunrise Christian School Marion & Morphett Vale, SA Are you passionate about Christian education and investing into the growth and development of the next generation? Working in the Sunrise Christian School ...",Not provided,https://www.adzuna.com.au/land/ad/1716374914?se=FnAJXCsQ6xGn_08q82QBrg&v=73961D9E75E316903E961E38C12CEFF4703FE0AF
20,Technical Assistant Drug Discovery And Development Heo,"THE UNIVERSITY OF SOUTH AUSTRALIA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"218107 Technical Assistant: Drug Discovery and Development (HEO 3)University of South AustraliaAdelaide, South AustraliaAustralia Search Technical Assistant: Drug Discovery and Development (HEO 3) University of South Australia, Australia Back Email Updated: 44...",Not provided,https://www.adzuna.com.au/land/ad/1727456456?se=gixRXysQ6xGF7dt1xvti3g&v=539DBF2A80151D7325F64255C4E97DC5571AE990
21,Speech Pathologist - Community - Adelaide SA,"MEDIRECRUIT - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Our Client: Our client is an industry thought leader, and by joining them, you can become one too. They are a progressive, forward-thinking, outside the box healthcare company with a mission to bring quality health care to the common person in a way that is ...",Not provided,https://www.adzuna.com.au/land/ad/1748739494?se=gixRXysQ6xGF7dt1xvti3g&v=0D819FFA59A3A725088D798DC4158B73CB45AB1B
22,Solar Roof-Worker Casual,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Solar Roof-Worker casual Solar Roof-Worker casual Posted 3 days ago. 103 people have viewed this job. Location: EDWARDSTOWN, SA External link. Opens in a new window Salary: Award Work Type: Casual position Tenancy: Temporary position Hours: 8 to 32 Positions...",Not provided,https://www.adzuna.com.au/land/ad/1756336230?se=gixRXysQ6xGF7dt1xvti3g&v=3127DE259CCDA1D803F5905640D349771C34D63F
23,Exploring Wellbeing Outcomes In The Aquatic And Recreation Industry,"THE UNIVERSITY OF SOUTH AUSTRALIA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"226896 Exploring Wellbeing Outcomes in the Aquatic and Recreation IndustryUniversity of South AustraliaAdelaide, South AustraliaAustralia Search Exploring Wellbeing Outcomes in the Aquatic and Recreation Industry University of South Australia, Australia Back ...",Not provided,https://www.adzuna.com.au/land/ad/1744712383?se=gixRXysQ6xGF7dt1xvti3g&v=04B8217883AEA7EC87D1471C80ACFE7EA58F429B
24,Fishing Crew - Ships Engineer,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Fishing Crew - Ships Engineer Fishing Crew - Ships Engineer Posted 15 days ago. 19 people have viewed this job. Location: BIRKENHEAD, SA External link. Opens in a new window Salary: Not Specified Work Type: Full time position Tenancy: Permanent position Hours...",Not provided,https://www.adzuna.com.au/land/ad/1756335979?se=gixRXysQ6xGF7dt1xvti3g&v=154A839438821CE47F1FB33FE1DE65ED387FF4E0
25,System Administrator - RHEL/Windows,"TALENT INTERNATIONAL - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Our client is looking for an experienced System Administrator (RedHat/Windows) for an initial 6 - 12 month contract with extensions after the initial period. Main responsibilities for this role: Member of the team responsible for managing Windows and Linux ...,Not provided,https://www.adzuna.com.au/land/ad/1760770501?se=gixRXysQ6xGF7dt1xvti3g&v=18D7895AB14428ED2E37368737830B7B77E8D67F
26,Cnc Machine Operator,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,CNC Machine Operator - Adelaide SA Casual Ongoing position for an experienced CNC Operator An excellent opportunity for an experienced CNC machine operator based in the western suburbs. We are currently seeking the above for ongoing work on either Days or ...,Not provided,https://www.adzuna.com.au/land/ad/1716374894?se=gixRXysQ6xGF7dt1xvti3g&v=C4B752D7D11BBBC90756C1B6268C32E06F97E911
27,Accounts Assistant - Accounts Receivable,"CTC - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Accounts Assistant - Accounts Receivable - Adelaide SA 5000 A highly-regarded engineering consultancy is currently seeking a proactive and reliable Accounts Assistant to join their team in Adelaide. This is a casual position with the potential to be extended. ...,Not provided,https://www.adzuna.com.au/land/ad/1716374874?se=gixRXysQ6xGF7dt1xvti3g&v=23738DEC03100733F8842FA95581AEA55582E505
28,Military Police,"DEFENCE JOBS - TOWNSVILLE, QLD","TOWNSVILLE, QLD",2020,10,17,"If you’re seeking a career in security and policing with excellent development opportunities, the potential to work in different environments and a lifestyle you simply won’t find anywhere else, then this could be the role for you. Your role: Like all ...",Not provided,https://www.adzuna.com.au/land/ad/1744857381?se=gixRXysQ6xGF7dt1xvti3g&v=B0FDBCF66A42213A68BA64E4D1C82A654ECCEF47
29,Assistant Underwriter,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Assistant Underwriter Job Title: Assistant Underwriter Contract Type: Permanent Location: Adelaide, South Australia Industry: Insurance & Wealth Management Reference: BBBH12536_1600386592 Contact Name: Amy Hatfield Contact Email: ahatfieldfuserecruitment.com ...",Not provided,https://www.adzuna.com.au/land/ad/1730293874?se=gixRXysQ6xGF7dt1xvti3g&v=03584D528EBEB5368E805857603084DB3659F353
30,Dementia Coordinator,"ELDERCARE - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Dementia Coordinator - Eastwood SA Are you passionate about improving dementia care and looking to enhance your career? Eldercare is a leading not-for-profit aged care provider in South Australia with an excess of 1600 employees. Our workplace culture embraces...,Not provided,https://www.adzuna.com.au/land/ad/1716374953?se=eIGMYCsQ6xGF7dt1xvti3g&v=6942B15D54AC7FA73304EDAEDF2EA00E85B4B5B0
31,Assistant Property Manager,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Assistant Property Manager  Real Estate & Property  Property Management  Adelaide  Permanent / Full Time 30/9/2020  Work with one of the biggest names in the industry  Fully Supported Role  Career Progression The Role Our client who are based in the Adelaide ...,Not provided,https://www.adzuna.com.au/land/ad/1753037244?se=eIGMYCsQ6xGF7dt1xvti3g&v=03811D0D79AB61CDCE006B2A68EB4B52405F968F
32,Centre Director At A And Modern Early Learning Centre,"GOODSTART CHILDCARE LIMITED - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Centre Director at a New & Modern Early Learning Centre Date: 22-Sep-2020 Location: BELAIR, ADELAIDE, SA, AU, 5052 Company: Goodstart Early Learning Goodstart Early Learning Belair Centre Director At Goodstart our Centre Directors are special people. They love...",Not provided,https://www.adzuna.com.au/land/ad/1756336015?se=eIGMYCsQ6xGF7dt1xvti3g&v=5BED929DE1BB4456DD5F42B3A93ED0F2ACC05B51
33,Clinical Psychologist,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Job Number : 31365 Type and Location : Clinical / Adelaide Listed By : mindwise psychologists on 1 Oct 2020 Clinical Psychologist PRIVATE PRACTICE OPPORTUNITY We are seeking an experienced psychologist to join our friendly and supportive team at mindwise ...,Not provided,https://www.adzuna.com.au/land/ad/1748739330?se=eIGMYCsQ6xGF7dt1xvti3g&v=2DBBFA3A24DE73DCC102D22246B02B6C4B0F9FD6
34,Unisa Online Tutor,"THE UNIVERSITY OF SOUTH AUSTRALIA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,UniSA Online Tutor Based in UniSA Online Casual employment opportunities offering minimum 10 hours a week per term Salary range: Hourly rate from $47.80 to $56.96 About the Role Do you have a passion for online learning? Do you want the flexibility to teach ...,Not provided,https://www.adzuna.com.au/land/ad/1744711071?se=eIGMYCsQ6xGF7dt1xvti3g&v=9470B898A644B5E1675A499CCD0C321B8F26EFEF
35,Senior Physiotherapist - Community / NDIS - Adelaide SA,"MEDIRECRUIT - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Our Client: Our client is an allied health operated business, whose mission is to connect with clients of all ages and disabilities, and provide them with high quality, responsive home-based services. Their rapidly growing practice, which delivers community ...",Not provided,https://www.adzuna.com.au/land/ad/1721864410?se=eIGMYCsQ6xGF7dt1xvti3g&v=0DA32C41069DA8DF79F486BAE037752ADB02DE41
36,Principal Re-Advertised,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Principal (re-advertised) Golden Grove Lutheran Primary School - Wynn Vale WYNN VALE, SA  Principal / Head of School Contract Type: Contract Position Full Time Applications Close: 12 October 2020  Applications are invited for the position of Principal (...",Not provided,https://www.adzuna.com.au/land/ad/1728796947?se=eIGMYCsQ6xGF7dt1xvti3g&v=291454B897F375FC89D2E233204565595476E608
37,"Excavator Operator, Pipe Layer And Laborer","CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Experienced Excavator Operator, Pipe layer and Labourer Date listed: 30/9/2020 Adelaide Full Time Required for ongoing work in the metro area. Please forward resume to: robgtrcivil.com.au Sector Trades & services Salary type Hourlyrate Job type Full time Sub ...",Not provided,https://www.adzuna.com.au/land/ad/1753037185?se=eIGMYCsQ6xGF7dt1xvti3g&v=1832B1575C91A06DFE982BF8DD38A58206C20316
38,Surface Nanoengineering Scholarship,"THE UNIVERSITY OF SOUTH AUSTRALIA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"218038 Surface nanoengineering scholarshipUniversity of South AustraliaAdelaide, South AustraliaAustralia Search Surface nanoengineering scholarship University of South Australia, Australia Back Email Updated: about 1 hour ago Location: Adelaide, SOUTH ...",Not provided,https://www.adzuna.com.au/land/ad/1727456369?se=eIGMYCsQ6xGF7dt1xvti3g&v=38D0E1FCEC8DDFFBD0D672E686E1CB57BB2B2265
39,Dog Bather,"BESTAFF INCORPORATED - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Dog Bather Holden Hill Best Resources - Holden Hill SA Part-time We are after an experienced Groomer /or an experienced bather who would love to work in an amazing salon in Holden Hill. This role will be part time or casual. Saturdays are essential. If you are...,Not provided,https://www.adzuna.com.au/land/ad/1716374892?se=eIGMYCsQ6xGF7dt1xvti3g&v=A47C6F6A62210AF77C890CB5E3D32FA0302A5466
40,Phd Scholarship In Complex Environments,"THE UNIVERSITY OF SOUTH AUSTRALIA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,PhD Scholarship in Complex Environments Scholarships are open to Australian citizens and Australian Permanent Residents Two PhD scholarships to investigate neurocognitive correlates of individual and team decision-making and performance in complex environments...,Not provided,https://www.adzuna.com.au/land/ad/1718324694?se=rDBhYisQ6xGF7dt1xvti3g&v=5F2E3238D87C2708A2FBF0081ED57DEB42BB0E56
41,Final Trim Grader Operator,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Final Trim Grader Operator Job Title: Final Trim Grader Operator Contract Type: Contract Location: Adelaide, South Australia Industry: Infrastructure Reference: BBBH12542_1600327496 Contact Name: Luanne Flavell Contact Email: lflavellfuserecruitment.com Job ...",Not provided,https://www.adzuna.com.au/land/ad/1730293787?se=rDBhYisQ6xGF7dt1xvti3g&v=92011AA993443BFCCA89CBE1039075C67A77E162
42,Elc Assistant Leader/Teacher,"CAREERONE PARTNER NETWORK - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"ELC Assistant Leader / Teacher Immanuel Primary School - Novar Gardens (see more jobs from this school) NOVAR GARDENS, SA  Kindergarten / ELC / Early Childhood Contract Type: Contract Position Full Time Applications Close: 13 October 2020  The successful ...",Not provided,https://www.adzuna.com.au/land/ad/1744715709?se=rDBhYisQ6xGF7dt1xvti3g&v=31C488EC2DF6D21FD729F1D5EA8D3D26A0E2138B
43,Junior Sous Chef,"JOLLEYS BOATHOUSE - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"161177 Posted 24 September, 2020 Jr Sous Chef Jolleys Boathouse Adelaide, South Australia, AU Full Time  Jolleys boathouse has an exciting opportunity for a Jr Sous Chef or Chef De Partie ready to make the step up to join the kitchen team We are seeking ...",Not provided,https://www.adzuna.com.au/land/ad/1744716836?se=rDBhYisQ6xGF7dt1xvti3g&v=D9571E8905EA9BD9684E3975E2BE567F6A357B25
44,Work from Home Business,"LOVING LIFE NOW - ADELAIDE, ADELAIDE REGION","ADELAIDE, ADELAIDE REGION",2020,10,17,"Work smarter, not harder and do it for YOURSELF Freedom to work when you want, from where you want, no more 9-5 Are you looking for more? Do you have substantial income goals? Be Self Employed, Work from Home with an unlimited Income Potential Home Based ...",Not provided,https://www.adzuna.com.au/land/ad/526193602?se=rDBhYisQ6xGF7dt1xvti3g&v=1E74AE0F27E0C9B971C4AE464ED5347C0714AEC7
45,Technical Project Manager,"TALENT INTERNATIONAL - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Our prime client is looking for a Technical Project Manager who can join the team for a minimum of 2 years fixed term contract plus possible extensions. Reporting to the Manager IT & OT you will be responsible and looking after the project management of a ...,Not provided,https://www.adzuna.com.au/land/ad/1765354750?se=rDBhYisQ6xGF7dt1xvti3g&v=79B2987F9B49FD0A5BCEA61DB1B949A04CD0614A
46,Sous Chef,"JOLLEYS BOATHOUSE - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"160986 Posted 24 September, 2020 Sous Chef Jolleys Boathouse Adelaide, South Australia, AU Full Time  Jolleys boathouse has an exciting opportunity for an experienced Sous Chef to join the kitchen team We are seeking enthusiastic, confident and highly ...",Not provided,https://www.adzuna.com.au/land/ad/1744715173?se=rDBhYisQ6xGF7dt1xvti3g&v=B0981F5DECF2E80FABD9CC99A89F9ECB47C6DCD8
47,General Practitioner Permanent - Mackay Ref 10002537,"HEALTH WORKFORCE QUEENSLAND - QUEENSLAND, MACKAY","QUEENSLAND, MACKAY",2020,10,17,"PROPOSED COMMENCEMENT DATE Immediate TOWN INFORMATION Mackay is a beautiful coastal town with a population of about 79 000. Sitting in the middle of the Queensland coast, the Mackay region stretches from secluded islands off the Whitsunday coast to sub-...",Not provided,https://www.adzuna.com.au/land/ad/1750521437?se=rDBhYisQ6xGF7dt1xvti3g&v=E3B8D49673494C3CBEFEB5089AB7B0FEC69105EB
48,General Manager Ses Band Strategic Communications And Engagement,"AUSTRALIAN COMPETITION & CONSUMER COMMISSION - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"General Manager (SES Band 1) Strategic Communications and Engagement  Exceptional individual sought  Critical, pivotal communications and engagement role  Impressive previous experience in a government/regulatory context preferred The AER is Australia's ...",Not provided,https://www.adzuna.com.au/land/ad/1725794714?se=rDBhYisQ6xGF7dt1xvti3g&v=6184A40D1295B03264564AB70608F13B791E8C14
49,Clinical Coordinator S Ftc,"GENESISCARE - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Clinical Research Coordinator (12 months FTC) Bedford Park, SA/en-US/Genesiscare_Careers/job/Bedford-Park-SA/Clinical-Research-Coordinator12-months-FTC-_R0007407/apply At GenesisCare we want to hear from people who are as passionate as we are about innovation ...",Not provided,https://www.adzuna.com.au/land/ad/1728796989?se=rDBhYisQ6xGF7dt1xvti3g&v=3C78CB21FF70EA337CEE95C30F28443527D33EB0
50,Consultant/Specialist,"WAVELENGTH INTERNATIONAL PTY LTD - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Consultant / Specialist - Bedford Park SA $2,000 a day Explore Adelaide while earning $2000 per day Whether a local or first time visitor, take advantage of great locum rates while having the opportunity to immerse yourself in the stunning wineries, parks and ...",Not provided,https://www.adzuna.com.au/land/ad/1721863595?se=lpl7YysQ6xGn_08q82QBrg&v=833792956FDF49A7A16FCCB6378567B7416B2229
51,Speech Pathologist - Mount Isa,"HEALTH WORKFORCE QUEENSLAND - QUEENSLAND, MOUNT ISA","QUEENSLAND, MOUNT ISA",2020,10,17,"Speech Pathologist vacancy - Mount Isa, Queensland This organisation is a private allied health service currently offering speech and occupational therapy services to a diverse caseload. Our therapists enjoy flexible working hours and autonomy in managing ...",Not provided,https://www.adzuna.com.au/land/ad/1746332837?se=lpl7YysQ6xGn_08q82QBrg&v=24730AEA2B9167B3182CB38B72BFA208824A49AE
52,Communication and Information Systems Operator (Female Opportunity),DEFENCE JOBS - MELBOURNE,MELBOURNE,2020,10,17,"Your role: This isn’t your average communications job. In this highly technical role, you’ll be trained to operate the Navy’s vast array of communication and data systems to keep information flowing securely between Navy vessels at sea and beyond. Some of the ...",Not provided,https://www.adzuna.com.au/land/ad/1744681740?se=lpl7YysQ6xGn_08q82QBrg&v=BA10DB88D6508F9CB878F345BB7897130360CA69
53,General Practitioner - Mackay Ref-10002628,"HEALTH WORKFORCE QUEENSLAND - MACKAY, QUEENSLAND, RURAL VIEW","MACKAY, QUEENSLAND, RURAL VIEW",2020,10,17,"Town Information: Mackay is a coastal city in tropical central Queensland. The Mackay Region encompasses the Whitsunday Islands, the rainforest areas of Eungella and the mining areas of Nebo, Moranbah and Dysart. With approximately 120,000 permanent residents...",Not provided,https://www.adzuna.com.au/land/ad/1731503575?se=lpl7YysQ6xGn_08q82QBrg&v=FE6DBE331A5D3002DB2C35BBCEC6BCF9068782AB
54,Cargo Operator (Entry Level),DEFENCE JOBS - SYDNEY,SYDNEY,2020,10,17,"If a career that involves driving specialist vehicles, distributing important cargo, and opportunities to travel overseas sounds appealing, then this could be the role for you. Your role: As a Cargo Operator, you’ll be responsible for the movement and ...",Not provided,https://www.adzuna.com.au/land/ad/1744679751?se=lpl7YysQ6xGn_08q82QBrg&v=0AEB2079C7CD1F2E44AC9343DC5F5FA4D7E3190F
55,Systems Administrator,"HAYS - ADELAIDE, SOUTH AUSTRALIA","ADELAIDE, SOUTH AUSTRALIA",2020,10,17,"This is a 3-month contract opportunity based in the Adelaide CBD. Your new company This well-known organisation is seeking an experienced Systems Administrator to join their IT team. Your new role You will be the conduit between the business, IT team and ...",Not provided,https://www.adzuna.com.au/land/ad/1765482539?se=lpl7YysQ6xGn_08q82QBrg&v=5D8B662135C51769CB9DD89D2A988A66F0129406
56,Beverage Technologist,"ACCOLADE WINES AUSTRALIA - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,Beverage Technologist - Reynella job in Reynella - Australia Job Location : Reynella - Australia . Job Salary : Competitive Job Type : Permanent Main Industry : Information Technology Advertiser : Accolade Wines Posted On : 24/10/2020 Job Description : Uncork ...,Not provided,https://www.adzuna.com.au/land/ad/1727456338?se=lpl7YysQ6xGn_08q82QBrg&v=9B5FFEE1AFA18649AF784B0D6C59C30D5B9B0387
